36REFERENCE=NC_020677.1POSITION=COMPLEMENT(10369..10518)DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	+	START=15526	END=15785	GAPS_GENOME=8	GAPS_SEQ=110	MATCH=95.77
36REFERENCE=NC_020677.1POSITION=COMPLEMENT(10369..10518)DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	-	START=10369	END=10518	GAPS_GENOME=0	GAPS_SEQ=0	MATCH=100.00
46REFERENCE=NC_020677.1POSITION=COMPLEMENT(3800..3949)DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	+	START=5310	END=5562	GAPS_GENOME=6	GAPS_SEQ=103	MATCH=93.28
46REFERENCE=NC_020677.1POSITION=COMPLEMENT(3800..3949)DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	-	START=3800	END=3949	GAPS_GENOME=0	GAPS_SEQ=0	MATCH=100.00
28REFERENCE=NC_020677.1POSITION=276..425DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	+	START=276	END=425	GAPS_GENOME=0	GAPS_SEQ=0	MATCH=100.00
28REFERENCE=NC_020677.1POSITION=276..425DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	-	START=5216	END=5445	GAPS_GENOME=10	GAPS_SEQ=80	MATCH=92.61
20REFERENCE=NC_020677.1POSITION=15711..15860DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	+	START=15711	END=15860	GAPS_GENOME=0	GAPS_SEQ=0	MATCH=100.00
20REFERENCE=NC_020677.1POSITION=15711..15860DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	-	START=15576	END=15808	GAPS_GENOME=9	GAPS_SEQ=83	MATCH=94.85
41REFERENCE=NC_020677.1POSITION=4403..4552DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	+	START=4403	END=4552	GAPS_GENOME=0	GAPS_SEQ=0	MATCH=100.00
41REFERENCE=NC_020677.1POSITION=4403..4552DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	-	START=9812	END=10024	GAPS_GENOME=17	GAPS_SEQ=63	MATCH=92.49
18REFERENCE=NC_020677.1POSITION=15607..15756DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	+	START=15607	END=15756	GAPS_GENOME=0	GAPS_SEQ=0	MATCH=100.00
18REFERENCE=NC_020677.1POSITION=15607..15756DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	-	START=15561	END=15760	GAPS_GENOME=15	GAPS_SEQ=50	MATCH=94.50
9REFERENCE=NC_020677.1POSITION=COMPLEMENT(1298..1447)DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	+	START=9288	END=9537	GAPS_GENOME=14	GAPS_SEQ=100	MATCH=96.00
9REFERENCE=NC_020677.1POSITION=COMPLEMENT(1298..1447)DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	-	START=1298	END=1447	GAPS_GENOME=0	GAPS_SEQ=0	MATCH=100.00
13REFERENCE=NC_020677.1POSITION=16072..16221DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	+	START=16072	END=16221	GAPS_GENOME=0	GAPS_SEQ=0	MATCH=100.00
13REFERENCE=NC_020677.1POSITION=16072..16221DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	-	START=62	END=287	GAPS_GENOME=16	GAPS_SEQ=76	MATCH=93.81
24REFERENCE=NC_020677.1POSITION=COMPLEMENT(8344..8493)DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	+	START=6128	END=6358	GAPS_GENOME=12	GAPS_SEQ=81	MATCH=93.51
24REFERENCE=NC_020677.1POSITION=COMPLEMENT(8344..8493)DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	-	START=8344	END=8493	GAPS_GENOME=0	GAPS_SEQ=0	MATCH=100.00
12REFERENCE=NC_020677.1POSITION=COMPLEMENT(6916..7065)DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	+	START=15513	END=15727	GAPS_GENOME=18	GAPS_SEQ=66	MATCH=93.95
12REFERENCE=NC_020677.1POSITION=COMPLEMENT(6916..7065)DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	-	START=6916	END=7065	GAPS_GENOME=0	GAPS_SEQ=0	MATCH=100.00
38REFERENCE=NC_020677.1POSITION=13438..13587DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	+	START=13438	END=13587	GAPS_GENOME=0	GAPS_SEQ=0	MATCH=100.00
38REFERENCE=NC_020677.1POSITION=13438..13587DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	-	START=14242	END=14518	GAPS_GENOME=11	GAPS_SEQ=129	MATCH=97.83
48REFERENCE=NC_020677.1POSITION=1319..1468DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	+	START=1319	END=1468	GAPS_GENOME=0	GAPS_SEQ=0	MATCH=100.00
48REFERENCE=NC_020677.1POSITION=1319..1468DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	-	START=3537	END=3805	GAPS_GENOME=7	GAPS_SEQ=119	MATCH=95.91
6REFERENCE=NC_020677.1POSITION=COMPLEMENT(15829..15978)DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	+	START=16013	END=16241	GAPS_GENOME=10	GAPS_SEQ=84	MATCH=92.58
6REFERENCE=NC_020677.1POSITION=COMPLEMENT(15829..15978)DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	-	START=15829	END=15978	GAPS_GENOME=0	GAPS_SEQ=0	MATCH=100.00
4REFERENCE=NC_020677.1POSITION=COMPLEMENT(3637..3786)DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	+	START=2078	END=2329	GAPS_GENOME=6	GAPS_SEQ=102	MATCH=94.44
4REFERENCE=NC_020677.1POSITION=COMPLEMENT(3637..3786)DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	-	START=3637	END=3786	GAPS_GENOME=0	GAPS_SEQ=0	MATCH=100.00
10REFERENCE=NC_020677.1POSITION=4517..4666DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	+	START=4517	END=4666	GAPS_GENOME=0	GAPS_SEQ=0	MATCH=100.00
10REFERENCE=NC_020677.1POSITION=4517..4666DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	-	START=5266	END=5503	GAPS_GENOME=6	GAPS_SEQ=89	MATCH=92.02
15REFERENCE=NC_020677.1POSITION=11833..11982DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	+	START=11833	END=11982	GAPS_GENOME=0	GAPS_SEQ=0	MATCH=100.00
15REFERENCE=NC_020677.1POSITION=11833..11982DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	-	START=9167	END=9399	GAPS_GENOME=13	GAPS_SEQ=83	MATCH=93.99
44REFERENCE=NC_020677.1POSITION=COMPLEMENT(13684..13833)DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	+	START=14344	END=14573	GAPS_GENOME=14	GAPS_SEQ=81	MATCH=94.35
44REFERENCE=NC_020677.1POSITION=COMPLEMENT(13684..13833)DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	-	START=13684	END=13833	GAPS_GENOME=0	GAPS_SEQ=0	MATCH=100.00
27REFERENCE=NC_020677.1POSITION=10990..11139DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	+	START=10990	END=11139	GAPS_GENOME=0	GAPS_SEQ=0	MATCH=100.00
27REFERENCE=NC_020677.1POSITION=10990..11139DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	-	START=7296	END=7506	GAPS_GENOME=13	GAPS_SEQ=61	MATCH=90.52
50REFERENCE=NC_020677.1POSITION=COMPLEMENT(1900..2049)DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	+	START=2278	END=2519	GAPS_GENOME=8	GAPS_SEQ=92	MATCH=91.74
50REFERENCE=NC_020677.1POSITION=COMPLEMENT(1900..2049)DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	-	START=1900	END=2049	GAPS_GENOME=0	GAPS_SEQ=0	MATCH=100.00
35REFERENCE=NC_020677.1POSITION=16167..16316DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	+	START=16167	END=16316	GAPS_GENOME=0	GAPS_SEQ=0	MATCH=100.00
35REFERENCE=NC_020677.1POSITION=16167..16316DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	-	START=11643	END=11853	GAPS_GENOME=16	GAPS_SEQ=61	MATCH=92.42
11REFERENCE=NC_020677.1POSITION=8594..8743DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	+	START=8594	END=8743	GAPS_GENOME=0	GAPS_SEQ=0	MATCH=100.00
11REFERENCE=NC_020677.1POSITION=8594..8743DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	-	START=2264	END=2517	GAPS_GENOME=5	GAPS_SEQ=104	MATCH=92.91
43REFERENCE=NC_020677.1POSITION=COMPLEMENT(10655..10804)DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	+	START=15611	END=15828	GAPS_GENOME=19	GAPS_SEQ=69	MATCH=94.50
43REFERENCE=NC_020677.1POSITION=COMPLEMENT(10655..10804)DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	-	START=10655	END=10804	GAPS_GENOME=0	GAPS_SEQ=0	MATCH=100.00
22REFERENCE=NC_020677.1POSITION=5286..5435DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	+	START=5286	END=5435	GAPS_GENOME=0	GAPS_SEQ=0	MATCH=100.00
22REFERENCE=NC_020677.1POSITION=5286..5435DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	-	START=152	END=408	GAPS_GENOME=5	GAPS_SEQ=107	MATCH=94.55
39REFERENCE=NC_020677.1POSITION=COMPLEMENT(4195..4344)DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	+	START=14366	END=14644	GAPS_GENOME=5	GAPS_SEQ=129	MATCH=95.70
39REFERENCE=NC_020677.1POSITION=COMPLEMENT(4195..4344)DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	-	START=4195	END=4344	GAPS_GENOME=0	GAPS_SEQ=0	MATCH=100.00
3REFERENCE=NC_020677.1POSITION=COMPLEMENT(1205..1354)DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	+	START=3348	END=3604	GAPS_GENOME=7	GAPS_SEQ=107	MATCH=94.55
3REFERENCE=NC_020677.1POSITION=COMPLEMENT(1205..1354)DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	-	START=1205	END=1354	GAPS_GENOME=0	GAPS_SEQ=0	MATCH=100.00
30REFERENCE=NC_020677.1POSITION=5751..5900DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	+	START=5751	END=5900	GAPS_GENOME=0	GAPS_SEQ=0	MATCH=100.00
30REFERENCE=NC_020677.1POSITION=5751..5900DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	-	START=7315	END=7553	GAPS_GENOME=9	GAPS_SEQ=90	MATCH=93.72
49REFERENCE=NC_020677.1POSITION=2434..2583DESCRIPTION="ALCESALCESISOLATEKAZAKHSTANMITOCHONDRION,COMPLETEGENOME"	+	START=2434	END=2583	GAPS_GENOME=0	GAPS_SEQ=0	MATCH=100.00
